patch_addr,bytes_at_local
0x4915c3,90E800B7585D
0x4915e5,90E8DEB6585D
0x491602,90E8C1B6585D
0x491619,90E8AAB6585D
0x491626,90E89DB6585D
0x491674,90E84FB6585D
0x491684,90E83FB6585D
0x4916c5,90E8FEB5585D
0x491908,90E83B585D5D
0x4919cb,90E8EA445D5D
0x4919da,90E869575D5D
0x491a8d,90E828445D5D
0x491bb4,90E80FB1585D
0x491bc6,90E8FDB0585D
0x491bd1,90E8F2B0585D
0x491f94,90E82FAD585D
0x491fa2,90E821AD585D
0x491fad,90E816AD585D
0x492034,90E88FAC585D
0x49204a,90E879AC585D
0x492055,90E86EAC585D
0x49228a,90E839AA585D
0x49229e,90E825AA585D
0x4922d8,90E8EBA9585D
0x4922ec,90E8D7A9585D
0x492314,90E8AFA9585D
0x49231f,90E8A4A9585D
0x4923ea,90E8D9A8585D
0x49254b,90E878A7585D
0x492597,90E82CA7585D
0x49281f,90E8A4A4585D
0x492866,90E85DA4585D
0x492923,90E8A0A3585D
0x492c96,90E82DA0585D
0x49327d,90E8469A585D
0x493966,90E8FDF9545D
0x494eed,90E8D67D585D
0x494f27,90E89C7D585D
0x494f4a,90E8797D585D
0x494fc8,90E8FB7C585D
0x494fe0,90E8E37C585D
0x494ff1,90E8D27C585D
0x495015,90E8AE7C585D
0x495026,90E89D7C585D
0x4950e6,90E8DD7B585D
0x4951d0,90E8F37A585D
0x4951fc,90E8C77A585D
0x4953b1,90E81279585D
0x4954d4,90E8DC1D5D5D
0x496560,90E86367585D
0x496592,90E83167585D
0x496629,90E89A66585D
0x49665b,90E86866585D
0x4966f2,90E8D165585D
0x496724,90E89F65585D
0x496fbb,90E8085D585D
0x497433,90E89058585D
0x497881,90E84254585D
0x497930,90E89353585D
0x497944,90E87F53585D
0x497a23,90E88DF85C5D
0x498401,90E8C248585D
0x498587,90E83C47585D
0x498726,90E855D75C5D
0x498739,90E842D75C5D
0x498776,90E83AEB5C5D
0x498799,90E817EB5C5D
0x4988f3,90E8C2D55C5D
0x498904,90E8B1D55C5D
0x498df7,90E8A6E75C5D
0x498e07,90E896E75C5D
0x4990f7,90E8A6E45C5D
0x499948,90E868D95C5D
0x499b3f,90E88431585D
0x499b51,90E87231585D
0x499b5c,90E86731585D
0x499c17,90E869D65C5D
0x499d41,90E86FD55C5D
