Module,Address,Function
msvcr90.dll,67420A2A,fseek
msvcr90.dll,67420AB4,_fseeki64_nolock
msvcr90.dll,67420B55,_fseeki64
msvcr90.dll,67420BA9,fsetpos
msvcr90.dll,67420BF3,_ftell_nolock
msvcr90.dll,67420D95,ftell
msvcr90.dll,67420E08,_ftelli64_nolock
msvcr90.dll,67421159,_ftelli64
msvcr90.dll,674211A8,fwprintf
msvcr90.dll,67421241,_fwprintf_l
msvcr90.dll,67421262,_fwprintf_s_l
msvcr90.dll,67421283,fwprintf_s
msvcr90.dll,674212A3,_fwprintf_p_l
msvcr90.dll,674212C4,_fwprintf_p
msvcr90.dll,674212E4,_fwrite_nolock
msvcr90.dll,6742144B,fwrite
msvcr90.dll,6742155A,fwscanf
msvcr90.dll,6742157F,_fwscanf_l
msvcr90.dll,674215A5,fwscanf_s
msvcr90.dll,674215CA,_fwscanf_s_l
msvcr90.dll,6742180B,gets_s
msvcr90.dll,67421827,gets
msvcr90.dll,67421842,_getw
msvcr90.dll,67421A50,_getws_s
msvcr90.dll,67421A6C,_getws
msvcr90.dll,67421A87,_set_output_format
msvcr90.dll,67421AC8,_get_output_format
msvcr90.dll,67421AD3,_popen
msvcr90.dll,67421FE9,_pclose
msvcr90.dll,674220C1,printf
msvcr90.dll,67422175,_printf_l
msvcr90.dll,67422193,_printf_s_l
msvcr90.dll,674221B1,printf_s
msvcr90.dll,674221CE,_printf_p_l
msvcr90.dll,674221EC,_printf_p
msvcr90.dll,67422209,_set_printf_count_output
msvcr90.dll,67422238,_get_printf_count_output
msvcr90.dll,67422253,puts
msvcr90.dll,674223B7,_putw
msvcr90.dll,6742246D,_putws
msvcr90.dll,6742255B,rewind
msvcr90.dll,67422626,_rmtmp
msvcr90.dll,674226D4,scanf
msvcr90.dll,674226F6,_scanf_l
msvcr90.dll,67422719,scanf_s
msvcr90.dll,6742273B,_scanf_s_l
msvcr90.dll,6742275E,_setmaxstdio
msvcr90.dll,67422863,_getmaxstdio
msvcr90.dll,6742286E,setbuf
msvcr90.dll,6742289B,setvbuf
msvcr90.dll,67422998,_snprintf
msvcr90.dll,67422A4C,_snprintf_l
msvcr90.dll,67422A70,_snprintf_c
msvcr90.dll,67422B37,_snprintf_c_l
msvcr90.dll,67422BC3,_snscanf
msvcr90.dll,67422BEB,_snscanf_l
msvcr90.dll,67422C14,_snscanf_s
msvcr90.dll,67422C3C,_snscanf_s_l
msvcr90.dll,67422C65,_snwprintf
msvcr90.dll,67422D3D,_snwprintf_l
msvcr90.dll,67422DD1,_snwscanf
msvcr90.dll,67422DF9,_snwscanf_l
msvcr90.dll,67422E22,_snwscanf_s
msvcr90.dll,67422E4A,_snwscanf_s_l
msvcr90.dll,67422E73,sprintf
msvcr90.dll,67422EF5,_sprintf_l
msvcr90.dll,67422F16,sprintf_s
msvcr90.dll,67422F39,_sprintf_s_l
msvcr90.dll,67422F5D,_snprintf_s
msvcr90.dll,67422F83,_snprintf_s_l
msvcr90.dll,67422FAA,_sprintf_p
msvcr90.dll,67422FCD,_sprintf_p_l
msvcr90.dll,67422FF1,_scprintf
msvcr90.dll,6742300B,_scprintf_p
msvcr90.dll,67423025,_scprintf_l
msvcr90.dll,67423043,_scprintf_p_l
msvcr90.dll,674230D0,sscanf
msvcr90.dll,674230F7,_sscanf_l
msvcr90.dll,6742311F,sscanf_s
msvcr90.dll,67423146,_sscanf_s_l
msvcr90.dll,674232AB,_swprintf
msvcr90.dll,67423348,__swprintf_l
msvcr90.dll,67423369,swprintf_s
msvcr90.dll,6742338C,_snwprintf_s
msvcr90.dll,674233B2,_swprintf_p
msvcr90.dll,674233D5,_swprintf_s_l
msvcr90.dll,674233F9,_snwprintf_s_l
msvcr90.dll,67423420,_swprintf_p_l
msvcr90.dll,67423444,_scwprintf
msvcr90.dll,6742345E,_scwprintf_p
msvcr90.dll,67423478,_scwprintf_l
msvcr90.dll,67423496,_scwprintf_p_l
msvcr90.dll,674234B4,"int __cdecl swprintf(unsigned short *, unsigned int, unsigned short const *, ...)"
msvcr90.dll,674234D7,"int __cdecl swprintf(wchar_t *, unsigned int, wchar_t const *, ...)"
msvcr90.dll,6742355F,_swprintf_c
msvcr90.dll,67423652,_swprintf_c_l
msvcr90.dll,674236EB,swscanf
msvcr90.dll,67423712,_swscanf_l
msvcr90.dll,6742373A,swscanf_s
msvcr90.dll,67423761,_swscanf_s_l
msvcr90.dll,67423789,_tempnam
msvcr90.dll,67423CE9,tmpnam_s
msvcr90.dll,67423D34,tmpnam
msvcr90.dll,67423F85,tmpfile
msvcr90.dll,67423FA6,tmpfile_s
msvcr90.dll,67423FBE,_ungetc_nolock
msvcr90.dll,674240B4,ungetc
msvcr90.dll,6742412B,_ungetwc_nolock
msvcr90.dll,674242EA,ungetwc
msvcr90.dll,67424367,_vprintf_l
msvcr90.dll,67424389,_vprintf_s_l
msvcr90.dll,674243AB,_vprintf_p_l
msvcr90.dll,674243CD,vprintf
msvcr90.dll,674243EE,vprintf_s
msvcr90.dll,6742440F,_vprintf_p
msvcr90.dll,67424550,_vfprintf_l
msvcr90.dll,67424575,_vfprintf_s_l
msvcr90.dll,6742459A,_vfprintf_p_l
msvcr90.dll,674245BF,vfprintf
msvcr90.dll,674245E3,vfprintf_s
msvcr90.dll,67424607,_vfprintf_p
msvcr90.dll,674246C3,_vfwprintf_l
msvcr90.dll,674246E8,_vfwprintf_s_l
msvcr90.dll,6742470D,_vfwprintf_p_l
msvcr90.dll,67424732,vfwprintf
msvcr90.dll,67424756,vfwprintf_s
msvcr90.dll,6742477A,_vfwprintf_p
msvcr90.dll,6742479E,_vsprintf_l
msvcr90.dll,67424821,vsprintf
msvcr90.dll,67424840,_vscprintf
msvcr90.dll,67424861,_vscprintf_l
msvcr90.dll,67424883,_vscprintf_p
msvcr90.dll,674248A4,_vscprintf_p_l
msvcr90.dll,674248C6,_vsnprintf_l
msvcr90.dll,6742497E,_vsnprintf
msvcr90.dll,67424A71,_vsnprintf_c
msvcr90.dll,67424A9F,_vsnprintf_c_l
msvcr90.dll,67424ACE,_vsprintf_s_l
msvcr90.dll,67424B5B,vsprintf_s
msvcr90.dll,67424B7D,_vsnprintf_s_l
msvcr90.dll,67424C89,_vsnprintf_s
msvcr90.dll,67424CAE,_vsprintf_p
msvcr90.dll,67424CDC,_vsprintf_p_l
msvcr90.dll,67424D0B,_vsnwprintf_l
msvcr90.dll,67424DE4,_vsnwprintf
msvcr90.dll,67424E06,_vswprintf_l
msvcr90.dll,67424EA4,_vswprintf
msvcr90.dll,67424EC3,__vswprintf_l
msvcr90.dll,67424F2F,_vscwprintf
msvcr90.dll,67424F50,_vscwprintf_l
msvcr90.dll,67424F72,_vscwprintf_p
msvcr90.dll,67424F93,_vscwprintf_p_l
msvcr90.dll,6742503E,"int __cdecl vswprintf(wchar_t *, unsigned int, wchar_t const *, char *)"
msvcr90.dll,6742515D,_vswprintf_c
msvcr90.dll,6742518B,_vswprintf_c_l
msvcr90.dll,674251BA,_vswprintf_s_l
msvcr90.dll,6742524A,vswprintf_s
msvcr90.dll,6742526C,_vsnwprintf_s_l
msvcr90.dll,6742537D,_vsnwprintf_s
msvcr90.dll,674253A2,_vswprintf_p
msvcr90.dll,674253D0,_vswprintf_p_l
msvcr90.dll,67425494,_vwprintf_l
msvcr90.dll,674254B6,_vwprintf_s_l
msvcr90.dll,674254D8,_vwprintf_p_l
msvcr90.dll,674254FA,vwprintf
msvcr90.dll,6742551B,vwprintf_s
msvcr90.dll,6742553C,_vwprintf_p
msvcr90.dll,6742555D,_wfdopen
msvcr90.dll,674256F0,_wfsopen
msvcr90.dll,674257BB,_wfopen
msvcr90.dll,674257D7,_wfopen_s
msvcr90.dll,6742590E,_wfreopen
msvcr90.dll,67425939,_wfreopen_s
msvcr90.dll,67425C74,_wpopen
msvcr90.dll,674261A2,wprintf
msvcr90.dll,67426256,_wprintf_l
msvcr90.dll,67426274,_wprintf_s_l
msvcr90.dll,67426292,wprintf_s
msvcr90.dll,674262AF,_wprintf_p_l
msvcr90.dll,674262CD,_wprintf_p
msvcr90.dll,67426375,wscanf
msvcr90.dll,67426397,_wscanf_l
msvcr90.dll,674263BA,wscanf_s
msvcr90.dll,674263DC,_wscanf_s_l
msvcr90.dll,674263FF,_wtempnam
msvcr90.dll,6742692C,_wtmpnam_s
msvcr90.dll,67426977,_wtmpnam
msvcr90.dll,674269A3,memcpy_s
msvcr90.dll,67426A25,memmove_s
msvcr90.dll,67426A87,_strdup
msvcr90.dll,67426AE1,strncmp
msvcr90.dll,67426BA6,strnlen
msvcr90.dll,67426BC8,strcat_s
msvcr90.dll,67426C41,strncat_s
msvcr90.dll,67426D0A,strcpy_s
msvcr90.dll,67426D77,strncpy_s
msvcr90.dll,67426E31,__strncnt
msvcr90.dll,67426E57,_strset_s
msvcr90.dll,67426EB1,_strnset_s
msvcr90.dll,67426F2E,strtok
msvcr90.dll,67426FF7,strtok_s
msvcr90.dll,674270EA,wcscat
msvcr90.dll,6742711D,wcscpy
msvcr90.dll,67427141,wcscat_s
msvcr90.dll,674271C3,wcschr
msvcr90.dll,674271EE,wcscmp
msvcr90.dll,6742722A,wcscpy_s
msvcr90.dll,6742729E,wcscspn
msvcr90.dll,674272E8,_wcsdup
msvcr90.dll,67427345,wcslen
msvcr90.dll,67427364,wcsnlen
msvcr90.dll,67427388,wcsncat
msvcr90.dll,674273CD,wcsncat_s
msvcr90.dll,674274C0,wcsncmp
msvcr90.dll,674274FC,__wcsncnt
msvcr90.dll,67427524,wcsncpy
msvcr90.dll,67427573,wcsncpy_s
msvcr90.dll,6742764B,_wcsnset
msvcr90.dll,6742767B,_wcsnset_s
msvcr90.dll,67427702,wcspbrk
msvcr90.dll,6742774A,wcsrchr
msvcr90.dll,6742777B,_wcsrev
msvcr90.dll,674277B7,_wcsset
msvcr90.dll,674277D9,_wcsset_s
msvcr90.dll,67427839,wcsspn
msvcr90.dll,67427887,wcsstr
msvcr90.dll,674278ED,wcstok
msvcr90.dll,6742799D,wcstok_s
msvcr90.dll,67427A90,asctime_s
msvcr90.dll,67427C63,asctime
msvcr90.dll,67427CB4,clock
msvcr90.dll,67427D3C,_ctime32_s
msvcr90.dll,67427DB1,_ctime32
msvcr90.dll,67427E12,_difftime32
msvcr90.dll,67427E43,_difftime64
msvcr90.dll,67428096,_ftime32_s
msvcr90.dll,674281F5,_ftime32
msvcr90.dll,67428205,_gmtime32_s
msvcr90.dll,67428379,_gmtime32
msvcr90.dll,674283A5,_localtime32_s
msvcr90.dll,674285D9,_localtime32
msvcr90.dll,67428851,_mktime32
msvcr90.dll,67428868,_mkgmtime32
msvcr90.dll,6742887F,_strdate_s
msvcr90.dll,67428930,_strdate
msvcr90.dll,67428951,_strtime_s
msvcr90.dll,674289F9,_strtime
msvcr90.dll,67428A1A,_time32
msvcr90.dll,67428A6D,_get_daylight
msvcr90.dll,67428AAB,_get_dstbias
msvcr90.dll,67428AE9,_get_timezone
msvcr90.dll,67428B27,_get_tzname
msvcr90.dll,67428BD0,__daylight
msvcr90.dll,67428BDB,__dstbias
msvcr90.dll,67428BE6,__timezone
msvcr90.dll,67428BF1,__tzname
msvcr90.dll,674293B6,_tzset
msvcr90.dll,67429439,_futime32
msvcr90.dll,674295EE,_utime32
msvcr90.dll,67429674,_ctime64_s
msvcr90.dll,67429703,_ctime64
msvcr90.dll,674299DB,_ftime64_s
msvcr90.dll,67429B56,_ftime64
msvcr90.dll,67429B66,_gmtime64_s
msvcr90.dll,67429DAE,_gmtime64
msvcr90.dll,67429DDA,_localtime64_s
msvcr90.dll,6742A097,_localtime64
msvcr90.dll,6742A37D,_mktime64
msvcr90.dll,6742A394,_mkgmtime64
msvcr90.dll,6742A3AB,_getsystime
msvcr90.dll,6742A432,_setsystime
msvcr90.dll,6742A4AC,_time64
